,name_track,name_artist,genre,type,year,id,popularity
187,Miss Americana & The Heartbreak Prince,Taylor Swift,pop,track,2019,214nt20w5wOxJnY462klLw,77
188,How to disappear,Lana Del Rey,pop,track,2019,4qUtC2BwFC154Ha8YQRrkk,74
189,xanny,Billie Eilish,pop,track,2019,4QIo4oxwzzafcBWkKjDpXY,73
190,GATTI,JACKBOYS,pop,track,2019,40mjsnRjCpycdUw3xhS20g,72
191,ROXANNE,Arizona Zervas,pop,track,2019,696DnlkuDOXcMAnKlTgXXK,76
192,My Oh My (feat. DaBaby),Camila Cabello,pop,track,2019,3yOlyBJuViE2YSGn3nVE1K,76
193,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,pop,track,2019,6osaMSJh9NguagEDQcZaKx,77
194,Heaven,Avicii,pop,track,2019,0vrmHPfoBadXVr2n0m1aqZ,70
195,Kill This Love,BLACKPINK,pop,track,2019,6hvczQ05jc1yGlp9zhb95V,75
196,RITMO (Bad Boys For Life),Black Eyed Peas,pop,track,2019,6cy3ki60hLwimwIje7tALf,72
197,What Would I Do?,Strawberry Guy,pop,track,2019,5EJA7Rwkeuvm98CZg0XXNO,76
198,Lalala,Y2K,pop,track,2019,51Fjme0JiitpyXKuyQiCDo,75
199,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",Sia,pop,track,2019,4lJNen4SMTIJMahALc3DcB,71
200,Time,NF,pop,track,2019,6MxMqCgqmekcr0VwSU7AVH,72
201,The Archer,Taylor Swift,pop,track,2019,3pHkh7d0lzM2AldUtz2x37,77
202,Giant (with Rag'n'Bone Man),Calvin Harris,pop,track,2019,5itOtNx0WxtJmi1TQ3RuRd,69
203,Let's Fall in Love for the Night,FINNEAS,pop,track,2019,4pfhgOylRLcBll5JjUsJZj,72
204,One Thing Right,Marshmello,pop,track,2019,7gZXCjAy6nxKCQWLEeX4LZ,76
205,bad idea!,girl in red,pop,track,2019,57j65yC2HggQfmYNc6rdOK,74
206,Gbona,Burna Boy,pop,track,2019,1PlYxNrefqOBvk52umixt9,68
207,Teacher's Pet,Melanie Martinez,pop,track,2019,5o5akY9xnEk6lpMkD8RwD9,75
208,Hate Myself,NF,pop,track,2019,5PdEiev2BkKiZtZFcNKjfM,70
209,I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk,pop,track,2019,2gTdDMpNxIRFSiu7HutMCg,72
210,Fem Komma Tvåan,Bolaget,pop,track,2019,5EllBvCDyUTSymM2iCCMCz,57
211,Strip That Down (feat. Quavo),Liam Payne,pop,track,2019,29JrmE89KgRyCxBIzq2Ocw,73
212,Light On,Maggie Rogers,pop,track,2019,6UnCGAEmrbGIOSmGRZQ1M2,72
213,Vindar på Mars,Hov1,pop,track,2019,1ZdxC3zKhv7A8W0QOhcaAy,55
214,Toucha Fame,Einár,pop,track,2019,68DubWf6CNqogfxcnnsGDW,53
215,Please Me,Cardi B,pop,track,2019,0PG9fbaaHFHfre2gUVo7AN,80
216,Afterglow,Taylor Swift,pop,track,2019,1SymEzIT3H8UZfibCs3TYi,76
217,Dö ung,Hov1,pop,track,2019,2OQgPPnwvacwYPs4CwRKjK,56
218,Harleys In Hawaii,Katy Perry,pop,track,2019,5nCthAh3jt4xKuLJAifAaR,74
219,Paradise,Bazzi,pop,track,2019,0Rx0DJI556Ix5gBny6EWmn,72
220,Only Human,Jonas Brothers,pop,track,2019,0DiDStADDVh3SvAsoJAFMk,73
221,Dance Monkey,Tones And I,pop,track,2019,5ZULALImTm80tzUbYQYM9d,71
222,Cherry,Harry Styles,pop,track,2019,2IOFZdYYkFxEHVz1w34PoL,72
223,Skrrt,K27,pop,track,2019,6wLJRKIGK763S9Tk9pP02H,52
224,When I Grow Up,NF,pop,track,2019,5rLyYxZNzca00ENADO9m54,73
225,Rules,Doja Cat,pop,track,2019,1TMWcbxL5YF8rKsFHv5hAP,74
226,Rescue Me,OneRepublic,pop,track,2019,0mjAU3yKR1QnXnHtjGJqTM,68
227,The Search,NF,pop,track,2019,2OKo7g3KfmCt3kyLvUAL0g,71
228,Starta vågen,Aden x Asme,pop,track,2019,6yMlFbOT0gNy7Qlsrn2jD7,53
229,La bandite,Jul,pop,track,2019,0goer5e8B6SJaTV2B51k6f,74
230,8,Billie Eilish,pop,track,2019,6X29iaaazwho3ab7GNue5r,69
231,WHAT TO DO? (feat. Don Toliver),JACKBOYS,pop,track,2019,4AO1XhrgJczQ9bNVxdfKQe,71
232,Яд,Erika Lundmoen,pop,track,2019,59vIllaE2ottAAAtAiAuLt,75
233,Lights Up,Harry Styles,pop,track,2019,4jAIqgrPjKLTY9Gbez25Qb,71
234,Alaska,Maggie Rogers,pop,track,2019,4HfLQJtVT1KiX1eVedDyTm,73
235,Neon,Hov1,pop,track,2019,3ohk7UW328iwdvQLz9sxCv,56
